bin_index,std,mad
0,0.008735114708542824,0.0
1,0.018199961632490158,0.0
2,0.04136859253048897,0.0
3,0.04581393674015999,0.0
4,0.8126955628395081,0.0
5,0.64456707239151,0.0
6,0.5130625367164612,0.0
7,0.24833771586418152,0.0
8,0.3004247844219208,0.0
9,0.31596434116363525,0.0
10,0.2837275564670563,0.0
11,0.4936697781085968,0.0
12,0.5614485740661621,0.0
13,0.6540727615356445,0.0
14,0.7379110455513,0.0
15,0.6747395992279053,0.0
16,0.6705175638198853,0.0
17,0.7013475894927979,0.0
18,0.7311903834342957,0.0
19,0.6967646479606628,0.0
20,0.40407830476760864,0.0
21,0.23312464356422424,0.0
22,0.31224361062049866,0.0
23,0.26888546347618103,0.0
